
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    40   715   537   150     3   -10    30 -9999    -5
    20   602   376   142     4    -6    26     0    -6
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7845    2.2189   88.4    0.7  163.6   48.5   996.6   27.2   30.6                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     1    50   423   660   865     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     1     0     0  5202  5102  5102     0    45   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    59    49    79     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   380 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   360 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   340 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   320  9613  1180   170 -9999   -65 -9999 -9999 -9999
   300  6099  1239   172     4   -36    28 -9999    10
   280  2564  1307   171     4    -2    29 -9999    -5
   260   958  1370   170     4    12    30 -9999   -11
   240   882  1423   175     4    11    30 -9999   -10
   220   952  1353   171     4     8    31 -9999    -6
   200  1067  1220   162     4     4    32 -9999    -2
   180  1430  1035   156     4    -2    33 -9999     0
   160  1707   896   152     4    -8    33 -9999     2
   140  1541   787   151     3   -10    30 -9999    -1
   120  1506   715   150     3   -12    29 -9999    -3
   100  1683   669   149     4   -14    32 -9999    -4
    80  1471   644   148     4   -15    33 -9999    -4
    60   985   607   148     4   -15    35 -9999    -3
    40   779   530   145     5   -13    34 -9999    -5
    20   646   419   136     5   -10    32     0    -6
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   48.7842    2.2187   88.4    0.8  163.7   48.5   996.5   27.2   30.6                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
     0     6     5  2013     2     0   506   748   943     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     1     0     0  5202  5002  5002     0    78   902

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     9     9    59    49    79     0    52 11100

   ALT    CT SPEED   DIR S DIR     W    SW INVMI  DTDZ

   400 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
