
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0    0.0  337.5   19.4   961.2   10.6   55.1                    
    22   654   555   286   -32   107   180   103 -9999
    12   517   495   291   -36   102   169   113 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.1   -0.1  344.5   29.0   960.3   14.7   44.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7952    11    10  2016    11    30   413   417   521     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5603  5204  5001     0   235  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     9     9   116   119   109     0    55 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   172 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   162  6051   809   267   -73    71   131   103    61
   152  4887   844   273   -73    69   132   103    62
   142  3714   832   274   -76    61   139   109    92
   132  2624   827   276   -74    58   146   114    73
   122  1594   857   280   -69    57   153   120    16
   112  1285   915   281   -68    55   146   119    11
   102  1181   964   280   -68    53   133   115    23
    92  1301   960   281   -69    56   120   117    48
    82  1379   947   283   -70    61   116   116    74
    72  1252   926   285   -69    70   142   104    95
    62  1261   902   284   -68    75   157    98   125
    52  1482   868   284   -68    74   158   102   166
    42  1383   819   285   -61    78   161   103   230
    32  1064   749   282   -49    87   166   103   331
    22   928   670   279   -41    97   178    96 -9999
    12   839   588   276   -33   108   193    88 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0   -0.1  344.3   29.0   960.2   14.6   43.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7951    11    10  2016    11    40   308   267   496     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5202  5303  5301     0   235  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     9     8   116   118   118     0    57 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   172 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   162  4216   828   293   -59   110   108    92    88
   152  3340   873   293   -53   106   112    95    89
   142  2590   881   292   -50    96   115    98   130
   132  2022   881   292   -48    89   119   102   104
   122  1587   875   295   -46    82   122   105    22
   112  1438   904   291   -52    84   126   101   122
   102  1370   936   288   -61    87   129    95   260
    92  1322   935   288   -69    84   131    97   163
    82  1316   903   288   -75    82   132   100    72
    72  1495   857   289   -68    89   134    99    73
    62  1634   842   290   -67    91   135    99   100
    52  1710   829   291   -72    87   135   103   146
    42  1533   814   292   -76    86   135   104   322
    32  1182   792   294   -79    86   137   103   659
    22   914   728   293   -88    77   139   101 -9999
    12   667   631   291   -99    64   142    99 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5784    0.2   -0.1  344.7   28.5   960.1   14.5   43.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7950    11    10  2016    11    45   303   375   475     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     0     0     0     0  5503  5104  5302     0   235  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     9     8   116   118   118     0    56 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  4377   940   279   -38   125 -9999 -9999 -9999
   172  6201   928   275   -55   115   175    91   157
   162  5167   961   274   -50   119   178    95   173
