
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.0    0.0  282.6   26.0   958.6   20.4   71.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     7    40   315   232  1520     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5602  5304  5300    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   122   113   106     0    58 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5503  5504  5501    29   288  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    95    95    93     0    63 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   630    92   215   -27    55     2    21     5    39    18
   130   312    97   218   -31    53     6    13     6    47    17
   120    88    90   141   -30    53     3    29     7    31    17
   110   113   153   143   -18    56     2    43    14    31    18
   100   133   155   124    -6    52     7   -29    10    38    16
    90   152   146    97     3    47    14   -40    17    74    17
    80   172   152    70    10    43    12   -68    10    33    20
    70   209   209    51    21    38    16   -69    31    -4    10
    60   240   142    60    22    38    18   -91    23   -58    21
    50   264   114    36    21    41    15   -59    15   -22    31
    40   281    70    31    25    47    18   -28    18   -46    10
    30 -9999    30    57 -9999 -9999    17   -13    19    -7 -9999
    20 -9999    36    75 -9999 -9999    11    -9    15    -6 -9999
    10 -9999    96   101 -9999 -9999     3   -43     2    16 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1969  -80.5777    0.1   -0.2  280.9   45.8   959.3   29.3   57.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     9    20   619   602   476     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5602  5304  5800    29   288  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    94    95    95     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   750   225   142   -14    33    11   -41     5    72    12
   130   431   197   152   -11    28     7   -43     8    71     6
   120   157   193   154   -12    30    10   -62     7    95     8
   110   194   180   149   -19    41     9   -31    12    88    23
   100   229   183   144   -22    45    14   -28    22    87    12
    90   264   182   139   -22    47    27   -34    29    76    28
    80   302   174   137   -19    49    24   -46    37    77    60
    70   372   173   140    -8    60    35   -47    27    67    42
    60   429   147   138    -3    60    34   -43    28    71   161
    50   455   147   135    -1    57    35   -38    31    55   276
    40   417   162   135    -2    54    41   -43    33    56   225
    30   354   183   135     2    48    24   -49    25    68   365
    20   300   193   135     3    45    14   -59    13    77   463
    10   264   154   138    -1    47    13   -41     4    61 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1969  -80.5777    0.1   -0.2  280.8   47.0   959.2   29.7   57.7                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     9    30   512   530   640     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5304  5203  5601    29   331  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    94    95    95     0    56 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   136   195   131   -34    33     7   -62     5    70     3
   130   153   105   143   -39    31     6   -49     4    59     8
   120   172   159   154   -43    29     5   -75    10    80    33
   110   195   165   164   -43    29     6   -23     9    38    79
   100   204   173   159   -41    28    12   -22    10    76    42
    90   198   181   152   -42    24    14    -7    23    79    17
    80   193   175   148   -43    17    20   -26    20    81     4
    70   260   134   143   -37    18    32   -34    29    82     6
    60   257   104   138   -34    22    42   -32    35    56     6
    50   237    82   143   -33    25    29   -29    26    38     9
