
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1975  -80.5777   -0.1    0.0  278.8   29.4   949.6   23.1   36.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5     2  2017    11    50    60    29    96     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5403  6103  5501    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   114   105   106     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM
   115   896   425   265    90   139 -9999 -9999 -9999 -9999 -9999
   110   346   439   264    83   149     2 -9999     2 -9999 -9999
   105   232   456   264    92   135     2 -9999     1 -9999  1901
   100   226   471   265   116   103     1 -9999     2 -9999  1901
    95   220   488   265   128    81     2 -9999     0 -9999  1901
    90   216   502   264   118    71     2 -9999     1 -9999  1901
    85   213   519   263    98    65     0 -9999     1 -9999  1901
    80   215   525   264    83    64     3 -9999     1 -9999  1901
    75   249   513   267    71    74     0   179     2   -12  1901
    70   283   513   270    60    88     0   170     0   -11  1901
    65   307   523   269    50   100     2   161     2   -11  1901
    60   309   533   267    42   113     1   179     1   -10  1901
    55   312   565   263    33   126     2   196     3   -11  1901
    50   314   613   258    27   133     4   214     2    -8  1901
    45   317   662   255    22   134     4   232     2   -15  1901
    40   320   727   258    18   136     3   250     6    -1  1901
    35   289   780   260    16   137    10   238     8   -36  1901
    30   240   781   261    18   138     6   254     5   -23  1901
    25   191   756   262    17   137    11   308     7    42  1901
    20   174   712   262     6   130     7   384     7    13 -9999
    15   164   641   260   -12   119     6   357     2    -3 -9999
    10   154   571   258   -29   109     3   270     1    21 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1975  -80.5777   -0.1   -0.1  278.4   34.4   949.7   24.3   37.1                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5     2  2017    12    25   189   100   158     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     1     0     0  6002  5904  5901    29     0  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     9     8     9    96    96    96     0    63 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   195 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   185 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   175 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   165 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   155 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   145 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   135 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   130 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
